министерство финансов Амурской области;;;;;;;;;;;;;;;;;;;;;
(наименование органа, исполняющего бюджет);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 на 01.11.2025 г.;;;;;;;;;;;;;;;;;;;;;
Дата печати 09.04.2026 (17:31:06);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Бюджет: Консолидированный;;;;;;;;;;;;;;;;;;;;;
КЦСР: *****975**,*****6105*,*****970**;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
руб.;;;;;;;;;;;;;;;;;;;;;
Бюджет;Дата проводки;КФСР;Наименование КФСР;КЦСР;Наименование КЦСР;КВР;Наименование КВР;КВСР;Наименование КВСР;КОСГУ;Наименование КОСГУ;Код цели;Наименование Код цели;КВФО;Наименование КВФО;Источник средств;Лимиты ПБС 2025 год;Подтв. лимитов по БО 2025 год;Подтв. лимитов без БО 2025 год;Остаток лимитов 2025 год;Всего выбытий (бух.уч.)
Бюджет Бурейского муниципального округа;05.08.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;0,00;97 348,03
Бюджет Бурейского муниципального округа;02.09.2025;07.09;Другие вопросы в области образования;08.3.02.97070;Мероприятия по проведению оздоровительной кампании детей за счет доходов от оказания платных услуг и компенсации затрат государства;2.4.4;Прочая закупка товаров, работ и услуг;003;Муниципальное казенное учреждение Отдел образования администрации Бурейского муниципального округа;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;-2 829,40;2 829,40;0,00
Бюджет г. Тынды;01.01.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;2.4.3;Закупка товаров, работ и услуг в целях капитального ремонта государственного (муниципального) имущества;222;Администрация города Тынды;2.2.5;Работы, услуги по содержанию имущества;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Муниципальные средства;133 752 149,85;0,00;0,00;267 504 299,70;0,00
Бюджет г. Тынды;20.02.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;2.4.3;Закупка товаров, работ и услуг в целях капитального ремонта государственного (муниципального) имущества;222;Администрация города Тынды;2.2.5;Работы, услуги по содержанию имущества;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Муниципальные средства;-133 752 149,85;0,00;0,00;-267 504 299,70;0,00
Бюджет г. Тынды;20.02.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;222;Администрация города Тынды;2.8.1;Безвозмездные перечисления капитального характера государственным (муниципальным) учреждениям;972310002013;Иные межбюджетные транcферты на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Приведение в нормативное состояние УДС города Тында и строительство 2 искусственных дорожных сооружений);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;133 752 149,85;0,00;0,00;267 504 299,70;0,00
Бюджет г. Тынды;28.03.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;222;Администрация города Тынды;2.8.1;Безвозмездные перечисления капитального характера государственным (муниципальным) учреждениям;972310002013;Иные межбюджетные транcферты на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Приведение в нормативное состояние УДС города Тында и строительство 2 искусственных дорожных сооружений);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;20 660 198,10;0,00;0,00;41 320 396,20;0,00
Бюджет г. Тынды;07.08.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;222;Администрация города Тынды;2.8.1;Безвозмездные перечисления капитального характера государственным (муниципальным) учреждениям;972310002013;Иные межбюджетные транcферты на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Приведение в нормативное состояние УДС города Тында и строительство 2 искусственных дорожных сооружений);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;44 622 636,12;-44 622 636,12;0,00
Бюджет г. Тынды;14.08.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;222;Администрация города Тынды;2.8.1;Безвозмездные перечисления капитального характера государственным (муниципальным) учреждениям;972310002013;Иные межбюджетные транcферты на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Приведение в нормативное состояние УДС города Тында и строительство 2 искусственных дорожных сооружений);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;44 622 636,12;-44 622 636,12;44 622 636,12
Бюджет г. Тынды;10.10.2025;04.09;Дорожное хозяйство (дорожные фонды);02.2.01.97003;Реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;222;Администрация города Тынды;2.8.1;Безвозмездные перечисления капитального характера государственным (муниципальным) учреждениям;972310002013;Иные межбюджетные транcферты на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в транспортной сфере, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Приведение в нормативное состояние УДС города Тында и строительство 2 искусственных дорожных сооружений);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;2 835 794,96;-2 835 794,96;1 417 897,48
Бюджет г. Тынды;20.03.2025;05.03;Благоустройство;03.1.01.97002;Реализация мероприятий в сфере коммунальной инфраструктуры и благоустройства территорий, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;222;Администрация города Тынды;2.4.1;Безвозмездные перечисления (передачи) текущего характера сектора государственного управления;972310002007;Иные межбюджетные транcферты  на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в сфере коммунальной инфраструктуры и благоустройства территорий, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Благоустройство 13 дворовых территорий);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;7 437 662,85;0,00;0,00;14 875 325,70;0,00
Бюджет г. Тынды;20.03.2025;05.03;Благоустройство;03.1.01.97002;Реализация мероприятий в сфере коммунальной инфраструктуры и благоустройства территорий, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;6.1.2;Субсидии бюджетным учреждениям на иные цели;222;Администрация города Тынды;2.4.1;Безвозмездные перечисления (передачи) текущего характера сектора государственного управления;972310002008;Иные межбюджетные транcферты  на софинансирование расходных обязательств  муниципальных образований Амурской области, возникающих при реализация мероприятий в сфере коммунальной инфраструктуры и благоустройства территорий, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации (Благоустройство общественных территорий (сквер в районе музыкальной школы (2 этап), памятник участникам ВОВ, автостанция);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;9 409 186,18;0,00;0,00;18 818 372,36;0,00
Бюджет города Белогорск;09.06.2025;05.02;Коммунальное хозяйство;10.1.01.6105Б;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (модернизация котельной ""Южная"", строительство теплотрассы, угольной эстакады)";2.4.4;Прочая закупка товаров, работ и услуг;007;"Муниципальное казенное учреждение ""Управление жилищно-коммунального хозяйства Администрации города Белогорск""";0.0.0;НЕ УКАЗАНО;ОБ-136-4;"Иные межбюджетные трансферты  на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Модернизация котельной ""Южный"", строительство теплотрассы, угольной эстакады)";1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;55 000 000,00;0,00;0,00;110 000 000,00;0,00
Бюджет города Белогорск;29.07.2025;05.02;Коммунальное хозяйство;10.1.01.6105Б;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (модернизация котельной ""Южная"", строительство теплотрассы, угольной эстакады)";2.4.4;Прочая закупка товаров, работ и услуг;007;"Муниципальное казенное учреждение ""Управление жилищно-коммунального хозяйства Администрации города Белогорск""";0.0.0;НЕ УКАЗАНО;ОБ-136-4;"Иные межбюджетные трансферты  на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Модернизация котельной ""Южный"", строительство теплотрассы, угольной эстакады)";1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;55 185 650,00;0,00;0,00;110 371 300,00;0,00
Бюджет города Белогорск;03.10.2025;05.02;Коммунальное хозяйство;10.1.01.6105Б;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (модернизация котельной ""Южная"", строительство теплотрассы, угольной эстакады)";2.4.4;Прочая закупка товаров, работ и услуг;007;"Муниципальное казенное учреждение ""Управление жилищно-коммунального хозяйства Администрации города Белогорск""";0.0.0;НЕ УКАЗАНО;ОБ-136-4;"Иные межбюджетные трансферты  на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Модернизация котельной ""Южный"", строительство теплотрассы, угольной эстакады)";1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;-96 261 171,41;0,00;0,00;-192 522 342,82;0,00
